params,r2_mean,r2_std,size_aug_mean,size_aug_std,size_noaug_mean,size_noaug_std
"{'max_heavy': 17, 'max_ratio': 0.4043979122669294, 'min_common': 4, 'pearson_thresh': 0.5777097441797917, 'crmsd_thresh': 2.362007966822946, 'std_threshold': 2.63750902550045}",0.7190862507230724,0.08181219442901261,802.4,296.6989046154367,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.19984636134927497, 'min_common': 2, 'pearson_thresh': 0.4251108558109158, 'crmsd_thresh': 2.0815031919611346, 'std_threshold': 1.0573022943184514}",0.7094452454756066,0.08139618760580493,6020.6,764.646741966511,366.4,5.4258639865002145
"{'max_heavy': 15, 'max_ratio': 0.38693399800323414, 'min_common': 5, 'pearson_thresh': 0.5692574097330273, 'crmsd_thresh': 2.123733795695322, 'std_threshold': 0.849827820177997}",0.6923589798674803,0.0938437535542411,447.4,76.04630168522333,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.3994418837847098, 'min_common': 3, 'pearson_thresh': 0.16687142579324407, 'crmsd_thresh': 2.8062546112905, 'std_threshold': 2.823335726581513}",0.7113523538684438,0.05345023812678976,3456.0,627.0055821123126,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.2663818839703172, 'min_common': 4, 'pearson_thresh': 0.37405570985341063, 'crmsd_thresh': 0.8115575046691383, 'std_threshold': 1.8970670725606378}",0.7093343308811109,0.096816338361454,1176.6,453.1271786154523,366.4,5.4258639865002145
"{'max_heavy': 20, 'max_ratio': 0.2236097282186151, 'min_common': 2, 'pearson_thresh': 0.24955047114848064, 'crmsd_thresh': 2.630977391875659, 'std_threshold': 1.9655728062320452}",0.69526370410005,0.07778283108884476,6699.6,1038.6611767077848,366.4,5.4258639865002145
"{'max_heavy': 12, 'max_ratio': 0.12988365206913874, 'min_common': 2, 'pearson_thresh': 0.14402271672843223, 'crmsd_thresh': 1.3994800895366495, 'std_threshold': 0.6437127509663849}",0.6675213766346182,0.10485698248336979,1534.4,330.97770317651305,366.4,5.4258639865002145
"{'max_heavy': 17, 'max_ratio': 0.43539245558540185, 'min_common': 3, 'pearson_thresh': 0.2279674394449683, 'crmsd_thresh': 1.5095005387557894, 'std_threshold': 2.500351952512984}",0.7279620923913812,0.056590614014857585,1439.2,318.94413303900103,366.4,5.4258639865002145
"{'max_heavy': 19, 'max_ratio': 0.3244530565193901, 'min_common': 4, 'pearson_thresh': 0.18210003704655345, 'crmsd_thresh': 1.839100688117124, 'std_threshold': 0.5404653685164361}",0.7013006774311885,0.08848014981603934,911.6,292.02369766852826,366.4,5.4258639865002145
"{'max_heavy': 18, 'max_ratio': 0.33142772269727827, 'min_common': 2, 'pearson_thresh': 0.5738754733006504, 'crmsd_thresh': 2.9729699566550236, 'std_threshold': 1.9163633408232406}",0.6970594578374426,0.09553837232789593,4760.2,763.92601736032,366.4,5.4258639865002145
"{'max_heavy': 15, 'max_ratio': 0.4982235290960034, 'min_common': 3, 'pearson_thresh': 0.2695098186791814, 'crmsd_thresh': 1.2333428496880712, 'std_threshold': 2.390771555279004}",0.7088960873942322,0.08831223379349018,935.4,165.42865531702785,366.4,5.4258639865002145
"{'max_heavy': 17, 'max_ratio': 0.4928996410358723, 'min_common': 5, 'pearson_thresh': 0.42885247213382593, 'crmsd_thresh': 0.3363050528216318, 'std_threshold': 2.9430390845635994}",0.6921163120465886,0.09101613022841086,418.8,64.16977481649752,366.4,5.4258639865002145
"{'max_heavy': 16, 'max_ratio': 0.42977764002436925, 'min_common': 4, 'pearson_thresh': 0.4999488964031364, 'crmsd_thresh': 2.2788725222704436, 'std_threshold': 2.438777953603923}",0.7133156807139407,0.08361126522474582,706.6,255.5719859452518,366.4,5.4258639865002145
"{'max_heavy': 13, 'max_ratio': 0.4354251915614511, 'min_common': 3, 'pearson_thresh': 0.3154879741020216, 'crmsd_thresh': 1.41129458265429, 'std_threshold': 1.439771385718868}",0.6957485913643662,0.06529049659584785,747.0,98.03060746521976,366.4,5.4258639865002145
"{'max_heavy': 17, 'max_ratio': 0.37429655188616584, 'min_common': 4, 'pearson_thresh': 0.2653272436217103, 'crmsd_thresh': 0.9521683409067565, 'std_threshold': 2.4642225293406224}",0.7108386513473179,0.09772244661409632,695.8,223.16756036664466,366.4,5.4258639865002145
"{'max_heavy': 14, 'max_ratio': 0.4543207587626477, 'min_common': 3, 'pearson_thresh': 0.49161493815458285, 'crmsd_thresh': 1.7340899650291925, 'std_threshold': 2.641620232425691}",0.7221514628063543,0.07899149281777594,872.6,198.3941531396528,366.4,5.4258639865002145
"{'max_heavy': 13, 'max_ratio': 0.46126519141556116, 'min_common': 3, 'pearson_thresh': 0.48572286986363516, 'crmsd_thresh': 1.8425786417363086, 'std_threshold': 1.529871807058987}",0.7065779360701626,0.07029076427735155,767.0,124.57929201917949,366.4,5.4258639865002145
"{'max_heavy': 10, 'max_ratio': 0.3473563992762895, 'min_common': 3, 'pearson_thresh': 0.3557805265101846, 'crmsd_thresh': 1.680299553084271, 'std_threshold': 2.168361791460192}",0.6886530461322903,0.08615728833888528,521.6,62.413460086747314,366.4,5.4258639865002145
"{'max_heavy': 14, 'max_ratio': 0.2655250732319906, 'min_common': 3, 'pearson_thresh': 0.21152930118068797, 'crmsd_thresh': 0.9089509799705984, 'std_threshold': 2.939351488768348}",0.7044801355427617,0.0899566999895195,814.4,161.71654213468702,366.4,5.4258639865002145
"{'max_heavy': 11, 'max_ratio': 0.4430015146870612, 'min_common': 2, 'pearson_thresh': 0.48973149882928835, 'crmsd_thresh': 1.2073703879937243, 'std_threshold': 2.2730833063687395}",0.6646053316245183,0.11430017001741986,1316.2,276.44413540532923,366.4,5.4258639865002145
"{'max_heavy': 15, 'max_ratio': 0.29172666895243404, 'min_common': 3, 'pearson_thresh': 0.10762170103046084, 'crmsd_thresh': 0.5641753346708569, 'std_threshold': 2.691188225044458}",0.7037862431664196,0.07927853997489974,730.2,118.66827714262982,366.4,5.4258639865002145
"{'max_heavy': 17, 'max_ratio': 0.39468911719204214, 'min_common': 4, 'pearson_thresh': 0.5818110451807414, 'crmsd_thresh': 2.4725363448643827, 'std_threshold': 2.610841681654709}",0.7199867002644389,0.08477628955373617,802.4,296.6989046154367,366.4,5.4258639865002145
"{'max_heavy': 18, 'max_ratio': 0.469333577699263, 'min_common': 5, 'pearson_thresh': 0.5163115639825061, 'crmsd_thresh': 1.5880870542192398, 'std_threshold': 2.622609851318178}",0.6998950924398871,0.09414754955650867,550.6,149.01087208656958,366.4,5.4258639865002145
"{'max_heavy': 16, 'max_ratio': 0.3629761605845827, 'min_common': 4, 'pearson_thresh': 0.42350221492286283, 'crmsd_thresh': 2.371341317842251, 'std_threshold': 2.1874087469157923}",0.7128351157441505,0.08579976031050907,715.6,269.41091291928024,366.4,5.4258639865002145
"{'max_heavy': 14, 'max_ratio': 0.4167085136945201, 'min_common': 3, 'pearson_thresh': 0.5409409325388973, 'crmsd_thresh': 2.5512916942062898, 'std_threshold': 1.6866995935645748}",0.7364861868881769,0.05570701218648964,987.6,218.83930177187094,366.4,5.4258639865002145
"{'max_heavy': 14, 'max_ratio': 0.41799249273248623, 'min_common': 3, 'pearson_thresh': 0.5318508566108273, 'crmsd_thresh': 1.9669798735228825, 'std_threshold': 1.270104117390415}",0.7286812653351549,0.06758570434000269,891.6,172.53475012298247,366.4,5.4258639865002145
"{'max_heavy': 13, 'max_ratio': 0.41763946795489815, 'min_common': 3, 'pearson_thresh': 0.5323945964117185, 'crmsd_thresh': 2.006679393763736, 'std_threshold': 1.2621325992979326}",0.7044984339701076,0.06403305329193708,769.8,120.43819992012502,366.4,5.4258639865002145
"{'max_heavy': 14, 'max_ratio': 0.3021837491489976, 'min_common': 3, 'pearson_thresh': 0.3192129672679087, 'crmsd_thresh': 2.6455526737834405, 'std_threshold': 1.6540071051208334}",0.723405151355092,0.05704556830951233,1021.2,223.2240130451919,366.4,5.4258639865002145
"{'max_heavy': 12, 'max_ratio': 0.4781550265256554, 'min_common': 2, 'pearson_thresh': 0.4030396776941052, 'crmsd_thresh': 1.943463084771302, 'std_threshold': 1.1935793997558648}",0.6769217120827608,0.09262458436838487,1647.2,361.0902380292217,366.4,5.4258639865002145
"{'max_heavy': 16, 'max_ratio': 0.42498944025157864, 'min_common': 3, 'pearson_thresh': 0.5326205292542172, 'crmsd_thresh': 2.187880712485513, 'std_threshold': 0.35016934605463157}",0.7261651206292756,0.05742452298343831,813.8,84.78301716735493,366.4,5.4258639865002145
